cluster_num,census_tracts
41,"37179020202,37179020308,37119005712,37119005835,37179020311,37179020312,37179020403,37179021004,37007920300,37007920500,37007920600,37007920200,37179020313,37179020315,37179020316,37179020317,37179020401,37179020404,37179020501,37179020502,37179020601,37179020602,37179020701,37179020702,37179020800,37179020901,37179020902,37179021005,37179020100,37179020204,37179020305,37179020306,37179020307,37179020309,37179020310"
42,"37057062002,37037020401,37125950200,37151030201,37151031200,37037020300,37037020402,37037020500,37123960100,37123960200,37123960300,37151030100,37151030202,37151030301,37151030302,37151030400,37151030502,37151030503,37151030504,37151030600,37151030700,37151030801,37151030802,37151030900,37151031000,37151031100,37151031306,37151031400"
43,"37045950400,37071030501,37071030901,37071031401,37071031800,37071032505,37071032506,37071032702,37071033203,37109070100,37109070500,37109070201,37109070202,37109070300,37109070400,37109071001,37071031402,37071031500,37071031600,37071031701,37071031703,37071031704,37071031900,37071032000,37071032100,37045950301,37045950302,37045950500,37045950601,37045950602,37071032600,37071032703,37071032704,37071032800,37071032900,37071033100,37071033202,37071033204,37071033303,37071033304,37071033305,37071033400,37071033500,37071030203,37071030204,37071030205,37071030301,37071030302,37071030401,37071030402,37071030502,37071030601,37071030602,37071030700,37071030801,37071030802,37071030902,37071031001,37071031003,37071031301,37071031302"
44,"37077970200,37145920200,37063002100,37077970101,37077970102,37077970300,37077970400,37077970500,37077970601,37077970701,37077970702,37077970704,37033930100,37145920100,37145920300,37145920400,37145920500,37145920601,37077970603,37145920602,37181960300,37181960400,37135010802"
45,"37085070200,37101040301,37101040700,37101040302,37101040400,37101040600,37101040800,37101040901,37101040902,37101041001,37101041101,37101041102,37101041103,37101041201,37101041202,37101041300,37101041400,37101041501,37085070300,37085070401,37085070402,37101041503,37101041502"
46,"37125950701,37125950900,37153970500,37007920400,37007920100,37093970201,37093970202,37165010300,37165010400,37165010500,37165010600,37165010102,37165010200,37165010101,37123960401,37123960402,37123960500,37125950301,37125950302,37125950601,37125950602,37125950702,37125950801,37125951000,37125951100,37125951200,37153970100,37153970200,37153970300,37153970400,37153970600,37153970700,37153970800,37153970900,37153971000,37153971100"
47,"37023020500,37023021400,37027030100,37027031401,37011930200,37023020100,37023020201,37023020202,37023020301,37023020302,37023020600,37023020801,37023020802,37023020900,37023021000,37023021201,37023021202,37023021203,37023021301,37023021302,37027030200,37027030300,37027030400,37027030500,37027030600,37027030700,37027030800,37027030900,37027031100,37027031201,37027031202,37027031402,37027031403"
48,"37119005816,37119005846,37119005817,37119005823,37119005830,37119005836,37119005837,37119005838,37119005839,37119005841,37119005842,37119005843,37119005844,37119005845,37119005847,37119005848,37179020314,37179021006,37179021007,37179021008,37179021009,37179021010,37179021011,37119005840,37179021012,37179021013,37179021014,37179021015"
49,"37049960101,37049960600,37049960700,37103920100,37013930800,37049960102,37049960200,37049960401,37049960402,37049960403,37049960404,37049960500,37049960800,37049960900,37049961001,37049961002,37049961100,37049961201,37137950101,37137950102,37137950201,37137950202,37137990100"
50,"37119004302,37119004500,37119004900,37119005509,37071030101,37119005510,37119005511,37119005512,37119005520,37119006105,37119006109,37119000500,37119004000,37119004100,37119004200,37119004303,37119004304,37119004305,37119004400,37119004600,37119004700,37119004800,37119005000,37119005100,37119005401,37119005403,37119005404,37119005508,37071030102,37071031101,37119006006,37119006007,37119006008,37119006009,37119006010,37119006103,37119006104,37119006106,37119006107,37119006108,37119006215,37119005513,37119005514,37119005518,37119005522,37119005523,37119005524"
51,"37067001200,37067002701,37067003903,37067004005,37067004014,37169070503,37059080200,37059080300,37067002806,37067002807,37067002808,37067002809,37067002901,37067001300,37067001400,37067002100,37067002200,37067002501,37067002502,37067002601,37067002603,37067002604,37067002702,37067002703,37067002801,37067002804,37067003804,37067003805,37067003806,37067003904,37067003905,37067003906,37067003908,37067003909,37067004007,37067004009,37067004010,37067004011,37067004012,37067004013,37067004015,37067004102,37067004103,37067004104,37197050101,37197050502,37169070200,37169070501,37169070504,37169070600"
52,"37019020309,37019020504,37019020510,37047931300,37019020506,37019020507,37019020508,37019020509,37019020511,37019020512,37019020601,37019020603,37019990100,37019020303,37019020308,37019020402,37019020403,37019020404,37019020405,37019020505,37047930200"
53,"37105030200,37105030101,37105030102,37105030300,37105030401,37105030402,37105030501,37105030502,37105030503,37085071101,37105030601,37105030602,37105030701,37105030702,37037020600,37085071102,37085071301,37085071302,37085071303,37085071401,37085071402,37125950100,37125950401,37125950402,37125950501,37125950502,37125950802"
54,"37113970302,37099950700,37175960500,37099940200,37099950200,37113970100,37113970301,37113970400,37099950300,37099950400,37099950500,37099950600,37099950800,37113970501,37113970502,37113970600,37099950900,37173940100,37173960200,37173960302,37175960600"
55,"37021000100,37021000400,37021001500,37021002000,37021002301,37021002606,37021003103,37115010500,37021002703,37021002803,37021002804,37021002900,37021003001,37021003002,37021000200,37021000300,37021000500,37021000600,37021000700,37021000800,37021000900,37021001000,37021001100,37021001200,37021001300,37021001400,37021001600,37021001700,37021001801,37021001802,37021001900,37021002101,37021002102,37021002204,37021002206,37021002302,37021002505,37021002506,37021002604,37021002605,37021002607,37021002701,37021002702,37021003104,37021003201,37021003203,37021003204,37115010100,37115010400,37115010600,37115010700"
56,"37183050100,37183051101,37183051800,37183052408,37183052704,37183053707,37183053715,37183053722,37183054001,37183054015,37183050300,37183050400,37183050500,37183050600,37183051102,37183051200,37183051400,37183051501,37183051502,37183051600,37183051700,37183051900,37183052505,37183052601,37183052602,37183052603,37183052701,37183052705,37183052706,37183052707,37183053714,37183053716,37183053723,37183053807,37183054004,37183054006,37183054007,37183054008,37183054011,37183054012,37183054014,37183054016,37183054017,37183054018,37183054104,37183054105,37183054110,37183054113"
57,"37097060100,37097060500,37097061001,37097061203,37097061403,37097061501,37159051901,37097060200,37097060300,37097060400,37097060601,37097060602,37097060603,37097060701,37097060702,37097060703,37097060801,37097060802,37097060901,37097060902,37097061002,37097061003,37097061101,37097061102,37097061103,37097061104,37097061201,37097061202,37097061204,37097061205,37097061301,37097061302,37097061303,37097061304,37097061402,37097061601,37035011501,37035011503"
58,"37025040701,37025041303,37025041901,37025042300,37025042502,37119005515,37025040702,37025040703,37025040800,37025040900,37025041000,37025041100,37025041200,37025041301,37025041302,37025040600,37025041902,37025042000,37025042101,37025042401,37025042402,37025042501,37025042503,37025042504,37025042601,37025042602,37159051101,37159051400,37159051501,37159051502,37159051600,37159051700,37159051801,37159051802,37097061408,37119005516,37119005517,37119005519,37119005521"
59,"37107010200,37107010400,37147001301,37049960300,37079950101,37079950102,37079950300,37103920300,37107010100,37107010300,37107010500,37107010600,37107010700,37107010800,37107010900,37107011001,37107011002,37107011300,37107011400,37147000603,37147001200,37147001302,37147001401,37147001402,37147001500,37147001600,37147001700,37147001800,37147001900"
